name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.84; 1.48625; 0.3402
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;1.86; 1.52802; 0.3432
automata/nfa-bench/benchmarks/automata_inclusion/true-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.88; 1.52343; 0.3496
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-lhs.mata;0.19; 0.18279; 0.0083
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBad-A-0-rhs.mata;0.22; 0.214266; 0.0090
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-lhs.mata;0.25; 0.246118; 0.0100
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-3-rhs.mata;0.26; 0.246296; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-lhs.mata;0.25; 0.246492; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery-4P-BinEnc-BwBadi-B-4-rhs.mata;0.25; 0.247165; 0.0099
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-lhs.mata;1.81; 1.3893; 0.4211
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-2-rhs.mata;1.95; 1.50487; 0.4527
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-lhs.mata;1.97; 1.51878; 0.4706
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-3-rhs.mata;1.96; 1.50285; 0.4531
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.9; 1.49461; 0.4511
automata/nfa-bench/benchmarks/automata_inclusion/true-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.98; 1.51167; 0.4560
